ID,Name,Role,Full Name,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style (l),Playing Role
9570,SB Styris,P,Scott Styris,10-7-1975,rhb,rm,right-hand bat,right-arm medium,allrounder
4382,A Symonds,P,Andrew Symonds,9-6-1975,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",allrounder
2166,WPUJC Vaas,P,Chaminda Vaas,27-1-1974,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
8163,Y Venugopal Rao,P,Venugopal Rao,26-2-1982,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
50809,DP Vijaykumar,P,Paidikalva Vijaykumar,20-10-1986,rhb,rm,right-hand bat,right-arm medium,
7634,AS Yadav,P,Arjun Yadav,23-12-1981,rhb,ob,right-hand bat,right-arm offbreak,batter
5413,DNT Zoysa,P,Nuwan Zoysa,13-5-1978,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
7781,V Sehwag,C,Virender Sehwag,20-10-1978,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
7520,R Bhatia,P,Rajat Bhatia,22-10-1979,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
46533,AB de Villiers,P,AB de Villiers,17-2-1984,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
15887,S Dhawan,P,Shikhar Dhawan,5-12-1985,lhb,ob,left-hand bat,right-arm offbreak,opening batter
7419,TM Dilshan,P,Tillakaratne Dilshan,14-10-1976,rhb,ob,right-hand bat,right-arm offbreak,allrounder
7773,G Gambhir,P,Gautam Gambhir,14-10-1981,lhb,lb,left-hand bat,legbreak,top-order batter
12402,B Geeves,P,Brett Geeves,13-6-1982,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
8813,KD Karthik,WK,Dinesh Karthik,1-6-1985,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
11374,MF Maharoof,P,Farveez Maharoof,7-9-1984,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
48373,VY Mahesh,P,Yo Mahesh,21-12-1987,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
7630,M Manhas,P,Mithun Manhas,12-10-1979,rhb,ob,right-hand bat,right-arm offbreak,allrounder
2101,GD McGrath,P,Glenn McGrath,9-2-1970,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
12562,A Mishra,P,Amit Mishra,24-11-1982,rhb,lb,right-hand bat,legbreak,bowler
19627,Mohammad Asif,P,Mohammad Asif,20-12-1982,lhb,rfm,left-hand bat,right-arm fast-medium,bowler
53582,Y Nagar,P,Yogesh Nagar,6-1-1990,rhb,ob,right-hand bat,right-arm offbreak,allrounder
51181,PJ Sangwan,P,Pradeep Sangwan,5-11-1990,rhb,lm,right-hand bat,left-arm medium,bowler
8270,Shoaib Malik,P,Shoaib Malik,1-2-1982,rhb,ob,right-hand bat,right-arm offbreak,allrounder
15389,M Tehlan,P,Mayank Tehlan,11-10-1986,rhb,ob,right-hand bat,right-arm offbreak,allrounder
47624,MK Tiwary,P,Manoj Tiwary,14-11-1985,rhb,lbg,right-hand bat,legbreak googly,batter
56586,TP Yadav,P,Tejashwi Yadav,9-11-1989,rhb,rab,right-hand bat,right-arm bowler,middle-order batter
4380,DL Vettori,P,Daniel Vettori,27-1-1979,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
7716,Yuvraj Singh,C,Yuvraj Singh,12-12-1981,lhb,sla,left-hand bat,slow left-arm orthodox,middle-order batter
6315,DPMD Jayawardene,VC,Mahela Jayawardene,27-5-1977,rhb,rm,right-hand bat,right-arm medium,batter
12958,AK Argal,P,Ajitesh Argal,21-9-1988,rhb,rm,right-hand bat,right-arm medium,
47185,PP Chawla,P,Piyush Chawla,24-12-1988,lhb,lb,left-hand bat,legbreak,bowling allrounder
4175,P Dharmani,P,Pankaj Dharmani,27-9-1974,rhb,,right-hand bat,,
51491,R Dhawan,P,Rishi Dhawan,19-2-1990,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
7723,Gagandeep Singh,P,Gagandeep Singh,3-10-1981,rhb,rmf,right-hand bat,right-arm medium-fast,
15851,K Goel,P,Karan Goel,24-12-1986,lhb,ob,left-hand bat,right-arm offbreak,opening batter
9235,JR Hopes,P,James Hopes,24-10-1978,rhb,rm,right-hand bat,right-arm medium,allrounder
6259,SM Katich,P,Simon Katich,21-8-1975,lhb,lws,left-hand bat,left-arm wrist-spin,batter
12810,U Kaul,WK,Uday Kaul,2-12-1987,lhb,,left-hand bat,,wicketkeeper
9863,SO Kukreja,P,Sahil Kukreja,9-7-1985,rhb,,right-hand bat,,
5966,B Lee,P,Brett Lee,8-11-1976,rhb,rf,right-hand bat,right-arm fast,bowler
10129,SE Marsh,P,Shaun Marsh,9-7-1983,lhb,sla,left-hand bat,slow left-arm orthodox,top-order batter
10303,KD Mills,P,Kyle Mills,15-3-1979,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
9801,WA Mota,P,Wilkin Mota,20-9-1981,rhb,rm,right-hand bat,right-arm medium,
11399,IK Pathan,P,Irfan Pathan,27-10-1984,lhb,lmf,left-hand bat,left-arm medium-fast,allrounder
49092,LA Pomersbach,P,Luke Pomersbach,28-9-1984,lhb,ob,left-hand bat,right-arm offbreak,batter
10671,RR Powar,P,Ramesh Powar,20-5-1978,rhb,ob,right-hand bat,right-arm offbreak,bowler
50884,N Saini,P,Nitin Saini,28-10-1988,rhb,,right-hand bat,,wicketkeeper batter
9587,KC Sangakkara,WK,Kumar Sangakkara,27-10-1977,lhb,ob,left-hand bat,right-arm offbreak,wicketkeeper batter
6405,RR Sarwan,P,Ramnaresh Sarwan,23-6-1980,rhb,lb,right-hand bat,legbreak,batter
47184,VRV Singh,P,Vikram Singh,17-9-1984,rhb,rmf,right-hand bat,right-arm medium-fast,
49005,S Sohal,P,Sunny Sohal,10-11-1987,rhb,lb,right-hand bat,legbreak,batter
12020,S Sreesanth,P,Sreesanth,6-2-1983,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
15739,TM Srivastava,P,Tanmay Srivastava,7-11-1989,lhb,rm,left-hand bat,right-arm medium,top-order batter
2024,SC Ganguly,C,Sourav Ganguly,8-7-1972,lhb,rm,left-hand bat,right-arm medium,batter
7129,AB Agarkar,P,Ajit Agarkar,4-12-1977,rhb,rf,right-hand bat,right-arm fast,bowler
7786,A Chopra,P,Aakash Chopra,19-9-1977,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",batter
54479,DB Das,P,Debabrata Das,22-9-1986,rhb,lbg,right-hand bat,legbreak googly,top-order batter
48965,AB Dinda,P,Ashok Dinda,25-3-1984,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
7568,CH Gayle,P,Chris Gayle,21-9-1979,lhb,ob,left-hand bat,right-arm offbreak,allrounder
6253,BJ Hodge,P,Brad Hodge,29-12-1974,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
11984,DJ Hussey,P,David Hussey,15-7-1977,rhb,ob,right-hand bat,right-arm offbreak,allrounder
51050,Iqbal Abdulla,P,Iqbal Abdulla,2-12-1989,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
7136,M Kartik,P,Murali Kartik,11-9-1976,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
54283,S Kaul,P,Siddarth Kaul,19-5-1990,rhb,rm,right-hand bat,right-arm medium,bowler
10384,BB McCullum,WK,Brendon McCullum,27-9-1981,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",wicketkeeper batter
50377,BAW Mendis,P,Ajantha Mendis,11-3-1985,rhb,ob,right-hand bat,right-arm offbreak,bowler
19647,Mohammad Hafeez,P,Mohammad Hafeez,17-10-1980,rhb,ob,right-hand bat,right-arm offbreak,allrounder
2230,RT Ponting,P,Ricky Ponting,19-12-1974,rhb,rm,right-hand bat,right-arm medium,top-order batter
51216,WP Saha,WK,Wriddhiman Saha,24-10-1984,rhb,,right-hand bat,,wicketkeeper batter
11647,Salman Butt,P,Salman Butt,7-10-1984,lhb,ob,left-hand bat,right-arm offbreak,batter
49327,I Sharma,P,Ishant Sharma,2-9-1988,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
5649,Shoaib Akhtar,P,Shoaib Akhtar,13-8-1975,rhb,rf,right-hand bat,right-arm fast,bowler
7704,LR Shukla,P,Laxmi Shukla,6-5-1981,rhb,rm,right-hand bat,right-arm medium,allrounder
10421,T Taibu,WK,Tatenda Taibu,14-5-1983,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
44908,Umar Gul,P,Umar Gul,15-10-1982,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
12979,RB Banerjee,P,Rohan Banerjee,10-12-1988,lhb,rm,left-hand bat,right-arm medium,opening batter
8077,RR Bose,P,Ranadeb Bose,27-2-1979,rhb,rfm,right-hand bat,right-arm fast-medium,
7705,SS Lahiri,P,Saurasish Lahiri,9-9-1981,rhb,ob,right-hand bat,right-arm offbreak,
17752,CA Pujara,P,Cheteshwar Pujara,25-1-1988,rhb,lb,right-hand bat,legbreak,top-order batter
45617,Yashpal Singh,P,Yashpal Singh,27-11-1981,rhb,rm,right-hand bat,right-arm medium,batter
1934,SR Tendulkar,C,Sachin Tendulkar,24-4-1973,rhb,"ob,lbg",right-hand bat,"right-arm offbreak,legbreak googly",top-order batter
7538,LE Bosman,P,Loots Bosman,14-4-1977,rhb,rm,right-hand bat,right-arm medium,opening batter
45257,DJ Bravo,P,Dwayne Bravo,7-10-1983,rhb,rm,right-hand bat,right-arm medium,allrounder
55401,AA Chavan,P,Ankeet Chavan,28-10-1985,lhb,sla,left-hand bat,slow left-arm orthodox,batter
55402,SD Chitnis,P,Siddharth Chitnis,6-5-1987,rhb,ob,right-hand bat,right-arm offbreak,batter
11937,G Dhiman,P,Gaurav Dhiman,16-12-1986,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
11271,CRD Fernando,P,Dilhara Fernando,19-7-1979,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
7139,Harbhajan Singh,P,Harbhajan Singh,3-7-1980,rhb,ob,right-hand bat,right-arm offbreak,bowler
1988,ST Jayasuriya,P,Sanath Jayasuriya,30-6-1969,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
7700,MA Khote,P,Musavir Khote,22-4-1980,rhb,rm,right-hand bat,right-arm medium,
51098,DS Kulkarni,P,Dhawal Kulkarni,10-12-1988,rhb,rm,right-hand bat,right-arm medium,bowler
47308,AM Nayar,P,Abhishek Nayar,8-10-1983,lhb,rm,left-hand bat,right-arm medium,allrounder
7804,A Nehra,P,Ashish Nehra,29-4-1979,rhb,lmf,right-hand bat,left-arm medium-fast,bowler
6343,A Nel,P,Andre Nel,15-7-1977,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
51454,MK Pandey,P,Manish Pandey,10-9-1989,rhb,rm,right-hand bat,right-arm medium,top-order batter
7668,RV Pawar,P,Rajesh Pawar,6-9-1979,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
2228,SM Pollock,P,Shaun Pollock,16-7-1973,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
4086,AG Prince,P,Ashwell Prince,28-5-1977,lhb,ob,left-hand bat,right-arm offbreak,top-order batter
51096,AM Rahane,P,Ajinkya Rahane,6-6-1988,rhb,rm,right-hand bat,right-arm medium,top-order batter
51479,RR Raje,P,Rohan Raje,3-9-1986,rhb,rfm,right-hand bat,right-arm fast-medium,
17850,L Ronchi,P,Luke Ronchi,23-4-1981,rhb,,right-hand bat,,wicketkeeper batter
48349,PR Shah,WK,Pinal Shah,3-11-1987,rhb,,right-hand bat,,wicketkeeper batter
45554,DR Smith,P,Dwayne Smith,12-4-1983,rhb,rm,right-hand bat,right-arm medium,allrounder
49096,Swapnil Singh,P,Swapnil Singh,22-1-1991,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
12928,YV Takawale,WK,Yogesh Takawale,5-11-1984,rhb,,right-hand bat,,
7447,DJ Thornely,P,Dominic Thornely,1-10-1978,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",top-order batter
15317,SS Tiwary,P,Saurabh Tiwary,30-12-1989,lhb,,left-hand bat,,top-order batter
8742,RV Uthappa,P,Robin Uthappa,11-11-1985,rhb,rm,right-hand bat,right-arm medium,batter
52946,VS Yeligati,P,Vikrant Yeligati,23-4-1985,rhb,ob,right-hand bat,right-arm offbreak,
45105,SL Malinga,P,Lasith Malinga,28-8-1983,rhb,rf,right-hand bat,right-arm fast,bowler
2000,SK Warne,C,Shane Warne,13-9-1969,rhb,lbg,right-hand bat,legbreak googly,bowler
45582,A Angle,P,Aditya Angle,2-11-1983,rhb,ob,right-hand bat,right-arm offbreak,
12106,SA Asnodkar,P,Swapnil Asnodkar,29-3-1984,rhb,ob,right-hand bat,right-arm offbreak,batter
49247,RA Jadeja,P,Ravindra Jadeja,6-12-1988,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
7632,M Kaif,P,Mohammad Kaif,1-12-1980,rhb,ob,right-hand bat,right-arm offbreak,batter
9257,Kamran Akmal,WK,Kamran Akmal,13-1-1982,rhb,,right-hand bat,,wicketkeeper batter
51005,S Khatri,P,Sumit Khatri,15-7-1989,lhb,lws,left-hand bat,left-arm wrist-spin,
54936,T Kohli,P,Taruwar Kohli,17-12-1988,rhb,rm,right-hand bat,right-arm medium,top-order batter
3329,DS Lehmann,P,Darren Lehmann,5-2-1970,lhb,sla,left-hand bat,slow left-arm orthodox,top-order batter
17741,PP More,P,Parag More,8-6-1985,rhb,ob,right-hand bat,right-arm offbreak,
47289,M Morkel,P,Morne Morkel,6-10-1984,lhb,rf,left-hand bat,right-arm fast,bowler
48249,Pankaj Singh,P,Pankaj Singh,6-5-1985,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
47100,MM Patel,P,Munaf Patel,12-7-1983,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
7708,NK Patel,P,Niraj Patel,26-3-1981,lhb,,left-hand bat,,allrounder
15473,YK Pathan,P,Yusuf Pathan,17-11-1982,rhb,ob,right-hand bat,right-arm offbreak,allrounder
47252,M Rawat,P,Mahesh Rawat,25-10-1985,rhb,,right-hand bat,,wicketkeeper batter
51319,AP Revandkar,P,Anup Revandkar,25-11-1987,rhb,ob,right-hand bat,right-arm offbreak,
51109,D Salunkhe,P,Dinesh Salunkhe,12-11-1982,rhb,lb,right-hand bat,legbreak,bowler
9891,JN Shah,P,Jaydev Shah,4-5-1983,lhb,ob,left-hand bat,right-arm offbreak,batter
10406,GC Smith,P,Graeme Smith,1-2-1981,lhb,ob,left-hand bat,right-arm offbreak,opening batter
48128,Sohail Tanvir,P,Sohail Tanvir,12-12-1984,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
9815,SK Trivedi,P,Siddharth Trivedi,4-9-1982,rhb,rm,right-hand bat,right-arm medium,bowler
10125,SR Watson,P,Shane Watson,17-6-1981,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
10439,Younis Khan,P,Younis Khan,29-11-1977,rhb,"rm,lb",right-hand bat,"right-arm medium,legbreak",middle-order batter
2071,JL Langer,P,Justin Langer,21-11-1970,lhb,rm,left-hand bat,right-arm medium,opening batter
6769,AD Mascarenhas,P,Dimitri Mascarenhas,30-10-1977,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
7577,HK Badani,P,Hemang Badani,14-11-1976,lhb,sla,left-hand bat,slow left-arm orthodox,middle-order batter
35384,GJ Bailey,P,George Bailey,7-9-1982,rhb,rm,right-hand bat,right-arm medium,top-order batter
45487,DE Bollinger,P,Doug Bollinger,24-7-1981,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
9946,C Ganapathy,P,Chandrasekar Ganapathy,10-6-1981,rhb,rm,right-hand bat,right-arm medium,
6335,JM Kemp,P,Justin Kemp,2-10-1977,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
49193,NLTC Perera,P,Thisara Perera,3-4-1989,lhb,rmf,left-hand bat,right-arm medium-fast,bowling allrounder
15267,T Thushara,P,Thilan Thushara,1-3-1981,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
49342,M Vijay,P,Murali Vijay,1-4-1984,rhb,ob,right-hand bat,right-arm offbreak,opening batter
7642,Anirudh Singh,P,Anirudh Singh,2-8-1980,lhb,rm,left-hand bat,right-arm medium,
59215,A Ashish Reddy,P,Ashish Reddy,24-2-1991,rhb,rm,right-hand bat,right-arm medium,allrounder
9925,AA Bilakhia,P,Azhar Bilakhia,31-5-1986,rhb,rm,right-hand bat,right-arm medium,
59325,Harmeet Singh,P,Harmeet Singh,9-10-1987,rhb,rm,right-hand bat,right-arm medium,bowler
12601,RJ Harris,P,Ryan Harris,11-10-1979,rhb,rf,right-hand bat,right-arm fast,bowler
50771,MR Marsh,P,Mitchell Marsh,20-10-1991,rhb,rm,right-hand bat,right-arm medium,allrounder
8539,MD Mishra,P,Mohnish  Mishra,9-2-1984,rhb,ob,right-hand bat,right-arm offbreak,batter
49034,KAJ Roach,P,Kemar Roach,30-6-1988,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
50810,R Sharma,P,Rahul Sharma,30-11-1986,rhb,lbg,right-hand bat,legbreak googly,bowler
12084,TL Suman,P,Tirumalasetti Suman,15-12-1983,rhb,ob,right-hand bat,right-arm offbreak,batter
49750,B Sumanth,P,Bodapati Sumanth,10-5-1988,rhb,rmf,right-hand bat,right-arm medium-fast,middle-order batter
2314,PD Collingwood,P,Paul Collingwood,26-5-1976,rhb,rm,right-hand bat,right-arm medium,allrounder
47078,MC Henriques,P,Moises Henriques,1-2-1987,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
51482,KM Jadhav,P,Kedar Jadhav,26-3-1985,rhb,ob,right-hand bat,right-arm offbreak,batting allrounder
60586,Joginder Singh,P,Joginder Singh,11-7-1980,rhb,rm,right-hand bat,right-arm medium,
53548,S Ladda,P,Sarabjit Ladda,10-7-1986,rhb,lb,right-hand bat,legbreak,bowler
9253,AB McDonald,P,Andrew McDonald,5-6-1981,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
47695,DP Nannes,P,Dirk Nannes,16-5-1976,rhb,lf,right-hand bat,left-arm fast,bowler
50121,WD Parnell,P,Wayne Parnell,30-7-1989,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
10063,S Ranjan,P,Shashi Ranjan,2-11-1981,rhb,ob,right-hand bat,right-arm offbreak,
11930,AM Salvi,P,Aavishkar Salvi,20-10-1981,rhb,rm,right-hand bat,right-arm medium,bowler
7718,Sarandeep Singh,P,Sarandeep Singh,21-10-1979,rhb,ob,right-hand bat,right-arm offbreak,
48739,DA Warner,P,David Warner,27-10-1986,lhb,lb,left-hand bat,legbreak,opening batter
58274,UT Yadav,P,Umesh Yadav,25-10-1987,rhb,rf,right-hand bat,right-arm fast,bowler
48879,YA Abdulla,P,Yusuf Abdulla,17-1-1983,lhb,lfm,left-hand bat,left-arm fast-medium,bowler
48263,L Ablish,P,Love Ablish,3-12-1982,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
49753,Amanpreet Singh,P,Amanpreet Singh,16-9-1989,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
50886,AB Barath,P,Adrian Barath,14-4-1990,rhb,ob,right-hand bat,right-arm offbreak,opening batter
47347,Bipul Sharma,P,Bipul Sharma,28-9-1983,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
11920,MS Bisla,WK,Manvinder  Bisla,27-12-1984,rhb,,right-hand bat,,wicketkeeper
44691,RS Bopara,P,Ravi Bopara,4-5-1985,rhb,rm,right-hand bat,right-arm medium,batting allrounder
46695,VS Malik,P,Vikramjeet Malik,9-5-1983,rhb,rm,right-hand bat,right-arm medium,bowler
7128,RS Sodhi,P,Reetinder Sodhi,18-10-1980,rhb,rm,right-hand bat,right-arm medium,allrounder
8161,SJ Srivastava,P,Shalabh Srivastava,22-9-1981,rhb,lfm,right-hand bat,left-arm fast-medium,bowler
48863,J Theron,P,Rusty Theron,24-7-1985,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
57444,VR Aaron,P,Varun Aaron,29-10-1989,rhb,rf,right-hand bat,right-arm fast,bowler
10280,SE Bond,P,Shane Bond,7-6-1975,rhb,rf,right-hand bat,right-arm fast,bowler
50410,Eklak Ahmid,P,Eklak Ahmid,12-10-1984,lhb,lmf,left-hand bat,left-arm medium-fast,
7133,RS Gavaskar,P,Rohan Gavaskar,20-2-1976,lhb,sla,left-hand bat,slow left-arm orthodox,
